ingredient_id,ingredient_name,language,category_id,category_name,subcategory_id,subcategory_name,reasoning,processed_at
1,151-proof demerara rum,ENG,1,Rum,541.0,Dark (black),"151-proof demerara rum is typically associated with Guyana (Demerara region) and is known for its deep color and robust flavor profile, characteristics that align with the 'Dark (black)' subcategory. ",2025-08-18T16:20:08.485433
2,151-proof rum,ENG,1,Rum,,,"151-proof rum is defined primarily by its high alcoholic strength rather than its color or aging process. There is no consistent color, flavor, or aging profile across 151-proof rums; they can be whit",2025-08-18T16:20:21.928951
4,99.bananas liqueur,ENG,3,Liqueur,590.0,Fruit,"99 Bananas liqueur is a banana-flavored liqueur, and bananas are classified as fruit. The liqueur's primary flavor and aroma are derived from bananas, making 'Fruit' the most specific and accurate sub",2025-08-18T16:20:40.012875
5,Absinthe,ENG,4,Absinthe,618.0,Green,"The most common and traditional form of absinthe is naturally green, known as 'la fée verte' or 'the green fairy.' This coloration is achieved by macerating coloring herbs after distillation, and gree",2025-08-18T16:20:50.398320
6,Absinthe substitute,ENG,4,Absinthe,618.0,Green,"Absinthe substitutes are typically intended to mimic the traditional green color of absinthe, known as 'la fée verte' or 'the green fairy.' The most common and recognizable style of absinthe is green,",2025-08-18T16:21:00.602579
7,Aged bacardi,ENG,1,Rum,539.0,Golden (amber),"Aged Bacardi refers to Bacardi rums that have spent several years maturing in oak casks, such as Bacardi Añejo Cuatro or Bacardi Ocho. These rums develop a golden or amber color from the aging process",2025-08-18T16:21:13.286023
9,Ale,ENG,6,Beer,,,"The term 'Ale' is a broad, general category encompassing many distinct beer styles such as Pale Ale, Brown Ale, Red Ale, and others. Without further specification, it does not match any single subcate",2025-08-18T16:21:33.283391
10,"Alizé de france passion fruit
liqueur",ENG,3,Liqueur,590.0,Fruit,"Alizé de France Passion Fruit Liqueur is primarily characterized by its infusion of passion fruit juice and other fruit flavors blended with vodka, making it a fruit-flavored liqueur. The most specifi",2025-08-18T16:21:42.825360
13,Amer picon,ENG,3,Liqueur,590.0,Fruit,"Amer Picon is a bitter liqueur whose primary and most distinctive flavor is derived from bitter orange peel, making 'Fruit' the most specific and appropriate subcategory among the available options. W",2025-08-18T16:22:10.983146
15,Angostura bitter,ENG,3,Liqueur,594.0,Herbal and Spiced,"Angostura bitters is primarily composed of a blend of herbs, spices, and botanicals, with gentian root as a key bittering agent and warm spices such as cinnamon, cloves, and cardamom contributing to i",2025-08-18T16:22:33.936461
16,Angostura bitters,ENG,3,Liqueur,594.0,Herbal and Spiced,"Angostura bitters is a concentrated alcoholic preparation made primarily from gentian root, herbs, and a variety of spices such as cinnamon, cloves, and cardamom. Its defining flavor profile is herbal",2025-08-18T16:22:49.586767
17,Anisette,ENG,3,Liqueur,594.0,Herbal and Spiced,"Anisette is a liqueur primarily flavored with anise seeds and often includes a blend of other herbs and spices, resulting in a sweet, licorice-like taste. None of the available subcategories specifica",2025-08-18T16:23:02.988904
19,Apple brandy,ENG,11,Brandy,606.0,Calvados,Calvados is a specific type of apple brandy from the Normandy region of France and is the most famous and well-regarded example of apple brandy. If the ingredient 'apple brandy' refers specifically to,2025-08-18T16:23:23.987601
24,Apple schnapps,ENG,3,Liqueur,590.0,Fruit,"Apple schnapps is a liqueur made by fermenting and distilling apples, then infusing the spirit with natural apple flavors, resulting in a distinctly fruity profile. Among the available subcategories, ",2025-08-18T16:24:12.413804
25,Applejack,ENG,11,Brandy,,,"Applejack is an American apple brandy, distinct from Calvados (which is specifically from Normandy, France), Grappa (made from grape pomace), and Pisco (a South American grape brandy). While Applejack",2025-08-18T16:24:24.089590
26,Apricot brandy,ENG,11,Brandy,,,"Apricot brandy is a fruit-flavored brandy or liqueur made by infusing or distilling apricots with brandy or neutral spirits. The available subcategories—'Calvados', 'Grappa', and 'Pisco'—refer specifi",2025-08-18T16:24:39.245349
27,Apricot liqueur,ENG,3,Liqueur,590.0,Fruit,"Apricot liqueur is made primarily from apricots, a type of fruit, and its dominant flavor profile is described as fruity, with the essence of ripe apricots taking center stage. None of the other subca",2025-08-18T16:24:51.964027
31,Bacardi light,ENG,1,Rum,537.0,"White (silver, light)","Bacardi light, also known as Bacardi Superior, is explicitly described as a light, white, or silver rum by both Bacardi and multiple authoritative sources. It is crystal clear in appearance, light-bod",2025-08-18T16:25:33.820505
34,Banana liqueur,ENG,3,Liqueur,590.0,Fruit,"Banana liqueur is a sweet, flavored liqueur made primarily from bananas or banana extract, and its defining characteristic is its strong, ripe banana fruit flavor. Among the available subcategories, '",2025-08-18T16:26:01.316447
37,Beer,ENG,6,Beer,,,"The ingredient is specified only as 'Beer' without any indication of style, color, or specific type. None of the listed subcategories can be selected without further detail, as each refers to a distin",2025-08-18T16:26:29.830744
38,Bitter lemon,RUS,23,Ликер,589.0,Фруктовый,"Алкогольный ликер 'Bitter lemon' относится к биттерам со вкусом лимона, что подтверждается описаниями как 'ликер биттер со вкусом лимона' и 'вкус: лимон, травы'. Среди доступных подкатегорий наиболее ",2025-08-18T16:26:39.868171
39,Bitter orange,RUS,23,Ликер,589.0,Фруктовый,"Горький апельсин — это фрукт, и ликёры на его основе (например, Куантро, Кюрасао, Trinity Bitter Orange) классифицируются как апельсиновые или фруктовые ликёры. Ни одна из других подкатегорий не подхо",2025-08-18T16:26:56.526602
40,Bittersweet chocolate shavings,ENG,3,Liqueur,,,"None of the available subcategories—'Fruit', 'Coffee', 'Herbal and Spiced', 'Mint', 'Cream', 'Berry', 'Nut', or 'Honey'—specifically or appropriately describe 'Bittersweet chocolate shavings', which a",2025-08-18T16:27:13.411404
41,Black currant vodka,ENG,14,Vodka,515.0,Berry,"Black currant vodka is a flavored vodka infused specifically with black currants, which are classified as berries. The most specific subcategory available that directly matches the ingredient's flavor",2025-08-18T16:27:22.771708
43,Black sambuca,ENG,3,Liqueur,594.0,Herbal and Spiced,"Black sambuca is primarily an anise-flavored liqueur, with its flavor profile built around star anise and licorice, and often includes elderberries and a blend of herbs and spices. The defining charac",2025-08-18T16:27:44.177187
45,Blackberry brandy,ENG,11,Brandy,,,"Blackberry brandy is a fruit brandy made from blackberries and does not fit into any of the available subcategories—Calvados (apple brandy), Grappa (pomace brandy), or Pisco (grape brandy). None of th",2025-08-18T16:27:59.372322
46,Blanco rum,ENG,1,Rum,537.0,"White (silver, light)","Blanco rum is the Spanish term for white rum, which is typically clear, light-bodied, and either unaged or lightly aged then filtered to remove color. This matches the 'White (silver, light)' subcateg",2025-08-18T16:28:13.977571
48,Blended canadian whisky,ENG,11,Brandy,,,"Blended Canadian whisky is a type of whisky produced in Canada, typically made by blending different whisky styles and grains, and is not a type of brandy. The available subcategories—'Calvados', 'Gra",2025-08-18T16:28:34.047775
51,Blue curaçao,ENG,3,Liqueur,590.0,Fruit,"Blue curaçao is a liqueur primarily flavored with the dried peels of the Laraha citrus fruit, a type of bitter orange native to Curaçao. Its dominant flavor profile is citrus and orange, which clearly",2025-08-18T16:28:57.067758
54,Bourbon,ENG,11,Brandy,,,"Bourbon is a type of whiskey, not a brandy. The available subcategories—'Calvados', 'Grappa', and 'Pisco'—are all specific types of brandy made from apples, grape pomace, or grapes, respectively, and ",2025-08-18T16:29:29.548994
59,Brandy,ENG,11,Brandy,,,"The ingredient 'Brandy' refers to the general category of distilled wine spirits and is not specifically Calvados, Grappa, or Pisco. These subcategories represent distinct, regionally protected types ",2025-08-18T16:30:12.158987
61,Brown ale,ENG,6,Beer,451.0,Brown Ale,"Brown ale is a distinct style of beer characterized by its dark amber or brown color and malt-forward flavor profile. It is recognized as its own category within beer styles, separate from other ales ",2025-08-18T16:30:32.143768
62,Brown crème de cacao,ENG,3,Liqueur,,,"Brown crème de cacao is a chocolate-flavored liqueur made from cocoa or cacao beans, not from fruit, coffee, herbs, mint, cream, berries, nuts, or honey. None of the available subcategories accurately",2025-08-18T16:30:42.422090
66,Butterscotch schnapps,ENG,3,Liqueur,,,"Butterscotch schnapps is a sweet liqueur flavored primarily with butterscotch, which is made from butter and brown sugar, sometimes with caramel and vanilla notes. None of the available subcategories—",2025-08-18T16:31:20.752138
67,Bénédictine,ENG,3,Liqueur,594.0,Herbal and Spiced,"Bénédictine is a liqueur made from a blend of 27 different herbs and spices, including ingredients such as sage, coriander, cinnamon, cloves, thyme, and others. Its primary flavor profile is herbal an",2025-08-18T16:31:32.043778
69,Cachaça,ENG,1,Rum,537.0,"White (silver, light)","The most common and widely used form of cachaça in cocktails is 'white' or 'silver' cachaça, which is typically bottled immediately after distillation without significant aging, matching the 'White (s",2025-08-18T16:31:51.985653
70,Cachaça rum,ENG,1,Rum,537.0,"White (silver, light)","Cachaça rum is most commonly found as an unaged, clear spirit, referred to as 'white' or 'silver' cachaça. This matches the 'White (silver, light)' subcategory, which is used for clear, unaged rums an",2025-08-18T16:32:02.547264
71,Calvados,ENG,11,Brandy,606.0,Calvados,"Calvados is a specific type of brandy made primarily from apples (and sometimes pears) in Normandy, France, and is recognized as its own distinct subcategory within brandy. The available subcategory '",2025-08-18T16:32:12.738852
72,Campari,ENG,3,Liqueur,594.0,Herbal and Spiced,"Campari is a liqueur made from the infusion of herbs, spices, and fruit in alcohol and water, with a pronounced bitter, herbal, and spiced flavor profile. While it contains some fruit elements (notabl",2025-08-18T16:32:26.065909
73,Campari bitter,RUS,23,Ликер,593.0,Травяной и пряный,"Campari содержит настойку горьких цитрусовых, а также большое количество трав, специй и пряностей, что подтверждается описаниями состава и вкуса во всех источниках. Основные вкусовые ноты — горькие тр",2025-08-18T16:32:37.966397
74,Canadian blended whisky,ENG,11,Brandy,,,"Canadian blended whisky is a type of whisky, not a brandy. The available subcategories—'Calvados', 'Grappa', and 'Pisco'—are all types of brandy made from apples, grapes, or grape pomace, respectively",2025-08-18T16:32:49.023621
75,Canadian whisky,ENG,11,Brandy,,,"Canadian whisky is a type of whisky, not a brandy. The available subcategories—'Calvados', 'Grappa', and 'Pisco'—are all types of brandy, which is a spirit distilled from fruit (typically grapes or ap",2025-08-18T16:33:03.434948
76,Candied ginger,ENG,11,Brandy,,,"Candied ginger is not a type of brandy, nor is it related to Calvados, Grappa, or Pisco, which are all specific subcategories of brandy made from apples, grape pomace, or Peruvian grapes, respectively",2025-08-18T16:33:18.208003
77,Canton ginger liqueur,ENG,3,Liqueur,594.0,Herbal and Spiced,"Canton ginger liqueur's primary flavor comes from ginger, which is a spice. While it also contains vanilla and honey, its defining characteristic is its spiced ginger profile, making 'Herbal and Spice",2025-08-18T16:33:33.360528
78,Captain morgan spiced rum,ENG,1,Rum,539.0,Golden (amber),"Captain Morgan Original Spiced Rum is described as having an amber color, which is characteristic of golden or amber rums. It achieves this color from aging in charred white oak barrels, and multiple ",2025-08-18T16:33:41.549628
83,Chambord,ENG,3,Liqueur,600.0,Berry,"Chambord is primarily made from black raspberries, blackberries, and black currants, giving it a distinct berry flavor profile. While it contains additional ingredients like vanilla, honey, and citrus",2025-08-18T16:34:21.389313
86,Cherry brandy,ENG,3,Liqueur,600.0,Berry,"Cherry brandy is a liqueur made primarily from cherries, which are classified botanically as berries. The available subcategory 'Berry' is the most specific and appropriate match, as none of the other",2025-08-18T16:34:48.321466
87,Cherry heering,ENG,3,Liqueur,600.0,Berry,"Cherry Heering is a cherry liqueur, and cherries are botanically classified as berries. The liqueur is crafted specifically from cherries, as confirmed by multiple sources, making 'Berry' the most spe",2025-08-18T16:34:57.024854
90,Chocolate liqueur,ENG,3,Liqueur,,,"Chocolate liqueur is primarily defined by its chocolate or cocoa content, not by fruit, coffee, herbal/spiced, mint, cream, berry, nut, or honey characteristics. None of the provided subcategories dir",2025-08-18T16:35:18.215796
97,Citron rum,ENG,1,Rum,537.0,"White (silver, light)","Citron rum is typically a citrus-flavored rum based on white or light rum, as flavor-infused rums like citron are almost always made with clear, unaged or lightly aged rum to allow the citrus flavor t",2025-08-18T16:36:13.004399
98,Citron vodka,ENG,14,Vodka,517.0,Citrus,"Citron vodka is a vodka flavored specifically with citrus fruits, predominantly lemon and lime, as described for products like Absolut Citron and Grey Goose Le Citron. The most specific and accurate s",2025-08-18T16:36:24.274802
