ingredient_id,ingredient_name,language,is_alcoholic,old_category_id,new_category_id,category_name,description,reasoning,processed_at
1392,Ликер  вишневый grenadine,RUS,True,,23,Ликер,,"Вишневый ликер — это алкогольный напиток, получаемый путем настаивания или смешивания вишни с крепким алкоголем, и он относится к категории ликеров[1][2][4]. Несмотря на путаницу с названием 'grenadin",2025-08-20T19:20:39.214072
1391,Ликер темный crème de cacao,RUS,True,,23,Ликер,,"«Ликер темный crème de cacao» — это шоколадный ликер на основе какао-бобов, с содержанием алкоголя около 22–24%. Все авторитетные источники (включая описания производителей и энциклопедические статьи)",2025-08-20T19:20:39.368358
1390,Ликер яблочный,RUS,True,,23,Ликер,,"Яблочный ликер — это сладкий алкогольный напиток на основе спирта с добавлением яблочного сока или экстракта, относящийся к категории фруктовых ликеров[1][2][3]. Он не является ни абсентом, ни виски, ",2025-08-20T19:20:40.120556
1389,Пахта,RUS,False,,33,Иные б/а напитки,,"Пахта — это кисломолочный напиток, получаемый как побочный продукт при производстве сливочного масла, и употребляется в пищу как самостоятельный напиток или используется в кулинарии[1][2][3][5]. Она н",2025-08-20T19:20:41.362634
1393,Ликер зеленый мятный,RUS,True,,23,Ликер,,"«Ликер зеленый мятный» — это алкогольный напиток на основе мяты, обладающий характерным зеленым цветом и сладко-освежающим вкусом. В профессиональных и потребительских источниках он однозначно классиф",2025-08-20T19:20:42.063547
1395,Ликер травяной benedictine d.o.m.,RUS,True,,23,Ликер,,"Benedictine D.O.M. — это французский травяной ликер, созданный на основе спирта, меда и смеси из 27 трав и специй. Все авторитетные источники прямо называют его ликером, а не абсентом, виски, текилой,",2025-08-20T19:20:56.827606
1397,Ликер  вишневый maraschino,RUS,True,,23,Ликер,,"Вишневый Maraschino — это прозрачный фруктовый ликер, изготавливаемый из мараскиновой вишни, что подтверждается как специализированными статьями, так и энциклопедическими источниками[1][2][3][4]. В пр",2025-08-20T19:20:56.846811
1068,Chilled ale,ENG,True,,6,Beer,,"""Chilled ale"" refers to a type of beer served cold. Ale is a category of beer, and cocktails such as Chelada or beer-based drinks commonly use chilled beer as an ingredient. None of the other categori",2025-08-20T19:20:56.860130
1396,Вермут сухой,RUS,True,,40,Вино,,"Вермут сухой — это ароматизированное крепленое вино, основой которого является белое или красное вино с добавлением спирта и экстрактов трав и специй[2][4][1]. Среди предложенных категорий наиболее то",2025-08-20T19:20:58.186722
1069,Vodka (freezer-chilled),ENG,True,,14,Vodka,,The ingredient 'Vodka (freezer-chilled)' is simply vodka that has been stored in a freezer to be served cold. It remains vodka regardless of temperature or serving method. Among the provided categorie,2025-08-20T19:21:01.332654
1072,Guinness (or other irish stout),ENG,True,,6,Beer,,"Guinness is an Irish stout, which is a type of beer made from water, malted barley, roasted barley, hops, and yeast[1]. Cocktail recipes and bartending guides consistently classify Guinness and other ",2025-08-20T19:21:15.232742
1071,Lager or pale ale,ENG,True,,6,Beer,,"Lager and pale ale are both types of beer, and in cocktail recipes, when an ingredient specifies 'lager or pale ale,' it refers to using a beer as the alcoholic component. This matches the 'Beer' cate",2025-08-20T19:21:15.887939
1073,Chilled champagne,ENG,True,,12,Wine,,Champagne is a type of sparkling wine produced in the Champagne region of France and is classified as wine in beverage categorization. Multiple cocktail recipes and sources refer to champagne as a spa,2025-08-20T19:21:15.946676
1070,Chilled lager or ale,ENG,True,,6,Beer,,"Chilled lager or ale are both types of beer, as confirmed by multiple sources describing their use in beer cocktails and distinguishing them from other alcoholic categories such as spirits or wine. Bo",2025-08-20T19:21:16.567788
1074,Chilled beer,ENG,True,,6,Beer,,Chilled beer is an alcoholic beverage that falls under the general category of 'Beer' in cocktail ingredient classification. Multiple sources confirm that beer is used as a primary ingredient in vario,2025-08-20T19:21:17.613594
1076,"Sake (preferably momokawa
diamond)",ENG,True,,12,Wine,,"Sake is a traditional Japanese alcoholic beverage made from fermented rice, water, yeast, and koji mold. While it is distinct from grape-based wines, it is internationally classified as a 'rice wine' ",2025-08-20T19:21:31.589650
1078,"Puréed white peaches (or regular
peaches)",ENG,False,,10,Fruits,,"Puréed white peaches (or regular peaches) are simply peaches that have been blended into a smooth consistency, retaining the essential characteristics of the fruit. Multiple cocktail recipes, such as ",2025-08-20T19:21:31.608152
1077,"Fresh mint leaves (preferably
japanese shiso mint)",ENG,False,,5,Other not alcohol,,"Fresh mint leaves, including Japanese shiso mint, are a non-alcoholic, non-fruit, non-vegetable, and non-syrup botanical ingredient commonly used in cocktails for flavor and garnish. They do not fit t",2025-08-20T19:21:33.895198
1079,Slices fresh ginger,ENG,False,,15,Vegetables,,"Ginger is botanically classified as a root vegetable and is commonly used in its fresh form as a spice or aromatic in cocktails. 'Slices fresh ginger' refers to the raw, unprocessed root, which fits t",2025-08-20T19:21:33.915036
1075,Silver or gold rum,ENG,True,,1,Rum,,"Silver rum (also called white or light rum) and gold rum are both types of rum distinguished by their color and aging process, but both fall under the general category of 'Rum.' Silver/white rums are ",2025-08-20T19:21:34.095037
1083,Dry vermouth,ENG,True,,12,Wine,,"Dry vermouth is an aromatized and fortified wine, made primarily from a wine base (at least 75% wine according to EU regulations), and then flavored with botanicals and fortified with additional alcoh",2025-08-20T19:21:44.544771
1084,Good-quality sake,ENG,True,,12,Wine,,"Sake is a traditional Japanese alcoholic beverage made from fermented rice, water, yeast, and koji mold, and is often referred to as 'rice wine' in English-language sources. It is not a distilled spir",2025-08-20T19:21:45.343851
1080,E fresh lime juice,ENG,False,,13,Juice,,"Fresh lime juice is the liquid extracted from limes and is used as a sour, acidic component in cocktails. It is not a whole fruit, syrup, or lemonade, but specifically a type of juice, making 'Juice' ",2025-08-20T19:21:45.484409
1082,"High-quality gin (such as bombay
sapphire)",ENG,True,,0,,,"Gin is a distinct category of spirit, separate from rum, liqueur, absinthe, beer, brandy, wine, and vodka. It is made by infusing a neutral spirit with botanicals, primarily juniper, and is not classi",2025-08-20T19:21:45.741906
