ingredient_id,ingredient_name,language,is_alcoholic,old_category_id,new_category_id,category_name,description,reasoning,processed_at
1,151-proof demerara rum,ENG,True,1.0,1.0,Rum,"151-proof demerara rum is a high-strength, overproof rum distilled from molasses in Guyana's Demerara region, bottled at 75.5% ABV (151 proof). Known for its robust, earthy, and caramel-rich flavor profile, it is commonly used in tiki cocktails and recipes requiring intense rum character and potency. Due to its high alcohol content, it should be handled with care in both mixing and service.","151-proof demerara rum is a type of overproof rum produced in Guyana, specifically from the Demerara region, and is classified as rum by all authoritative sources. It is not a liqueur, absinthe, beer,",2025-08-18T16:19:57.658232
2,151-proof rum,ENG,True,1.0,1.0,Rum,"151-proof rum is a highly potent rum with an alcohol content of 75.5% ABV (151 proof). It is classified as an overproof rum and is commonly used in cocktails requiring a strong kick, as well as for flaming drinks and certain culinary applications. Due to its high strength, it should be handled with care and measured precisely in recipes.","151-proof rum is a type of rum distinguished by its exceptionally high alcohol content, not by flavor or aging style. It is not a liqueur, absinthe, beer, brandy, wine, or vodka, but rather a specific",2025-08-18T16:20:14.346191
3,7-up,ENG,False,2.0,5.0,Other not alcohol,"7-Up is a clear, carbonated soft drink with a crisp lemon-lime flavor, commonly used as a mixer in cocktails and mocktails. It contains carbonated water, sweeteners, citric acid, and natural flavors, making it a versatile non-alcoholic ingredient behind the bar. Bartenders use 7-Up to add effervescence and a refreshing citrus note to a wide range of drinks.","7-Up is a non-alcoholic, carbonated soft drink and does not fit the 'Lemonade' or 'Juice' categories, as it is not a pure juice or traditional lemonade but a flavored soda. It is best classified under",2025-08-18T16:20:27.149290
4,99.bananas liqueur,ENG,True,3.0,3.0,Liqueur,"99 Bananas liqueur is a high-proof, banana-flavored liqueur with an alcohol content of 49.5% ABV (99 proof). It is known for its intense banana aroma and flavor, making it a popular choice for shots, tropical cocktails, and creative dessert drinks. Its thinner texture and higher strength set it apart from traditional crème de banane liqueurs, so bartenders should use it thoughtfully in recipes.","99 Bananas is classified as a liqueur due to its flavoring and sugar content, despite its unusually high alcohol content for the category. Multiple sources explicitly list it as a liqueur, and it is n",2025-08-18T16:20:34.724758
5,Absinthe,ENG,True,4.0,4.0,Absinthe,"Absinthe is a highly alcoholic, anise-flavored spirit distilled from botanicals including wormwood, green anise, and fennel. Traditionally bottled at 45–74% ABV, it is known for its herbal, licorice-like profile and is typically diluted with water before serving. Absinthe is a classic cocktail ingredient, especially in drinks like the Sazerac and Corpse Reviver No. 2.","Absinthe is a distinct spirit category, not a liqueur, rum, or other listed type. It is specifically described as an anise-flavored, high-proof spirit and is not traditionally sweetened, which differe",2025-08-18T16:20:46.184248
6,Absinthe substitute,ENG,True,4.0,4.0,Absinthe,"An absinthe substitute is an anise-flavored spirit designed to replicate the herbal, licorice-like profile of traditional absinthe, often used when absinthe is unavailable. Common substitutes include Herbsaint, pastis, and other similar spirits, which provide the characteristic flavor and function in classic cocktails. These substitutes typically lack wormwood but serve the same role in recipes requiring absinthe.","Absinthe substitutes are specifically created to mimic the flavor and function of absinthe in cocktails, as seen with products like Herbsaint and pastis, and are used interchangeably in recipes callin",2025-08-18T16:20:55.604133
7,Aged bacardi,ENG,True,1.0,1.0,Rum,"Aged Bacardi refers to Bacardi rum that has been matured in oak barrels for several years, resulting in a smoother, more complex flavor profile with notes of vanilla, oak, and dried fruit. It is ideal for sipping neat, on the rocks, or as a flavorful base in classic and modern cocktails. The aging process enhances the rum's depth and character, making it a versatile choice for bartenders.","Aged Bacardi is a type of rum that has undergone barrel aging, which is a defining characteristic of the 'Rum' category. Bacardi is a well-known rum producer, and their aged expressions are specifical",2025-08-18T16:21:05.789148
8,Agua ardiente,ENG,False,5.0,9.0,Other alcohol,"Agua ardiente, commonly known as aguardiente, is a strong distilled spirit traditionally made from sugarcane and flavored with anise. It is popular in several Latin American countries, especially Colombia, where it is typically consumed as a shot or used in cocktails. Despite its name meaning 'burning water,' it is an alcoholic beverage and not a non-alcoholic ingredient.","Although the query states the ingredient is non-alcoholic, all authoritative sources confirm that 'agua ardiente' or 'aguardiente' is a distilled alcoholic spirit, not a non-alcoholic ingredient. Ther",2025-08-18T16:21:20.056246
9,Ale,ENG,True,6.0,6.0,Beer,"Ale is a type of beer brewed with top-fermenting yeast at warmer temperatures, resulting in a wide range of styles such as pale ale, brown ale, and IPA. It is known for its fruity, complex flavors and can vary in color, bitterness, and alcohol content. Ales are commonly used in beer cocktails to add depth and character.","Ale is specifically defined as a style of beer, distinguished by its fermentation method and yeast type. It is not a spirit, liqueur, or wine, making 'Beer' the only accurate category from the provide",2025-08-18T16:21:26.674585
10,"Alizé de france passion fruit
liqueur",ENG,True,3.0,3.0,Liqueur,"Alizé de France Passion Fruit Liqueur is a French fruit liqueur that blends premium French vodka with passion fruit nectar and other natural fruit flavors. With an ABV of around 16%, it offers a sweet, exotic profile ideal for cocktails or serving over ice. Its vibrant passion fruit character makes it a versatile and popular choice for bartenders.","Alizé de France Passion Fruit Liqueur is classified as a liqueur due to its blend of spirits (primarily vodka) with fruit juices and sweeteners, and its moderate alcohol content. Multiple sources spec",2025-08-18T16:21:38.584580
11,Almond syrup,ENG,False,7.0,7.0,Syrup,"Almond syrup, commonly known as orgeat, is a sweet, non-alcoholic syrup made from almonds, sugar, and often a touch of rose or orange flower water. It has a rich, nutty, and slightly floral flavor profile, making it a key ingredient in classic cocktails such as the Mai Tai and other tiki drinks. Bartenders use almond syrup to add depth and aromatic complexity to both alcoholic and non-alcoholic beverages.","Almond syrup is primarily used as a sweetening and flavoring agent in cocktails and is classified as a syrup due to its composition and usage. It is not a juice, fruit, or other non-alcoholic beverage",2025-08-18T16:21:48.350981
